ID,Name,Year Published,Min Players,Max Players,Play Time,Min Age
189932,Tyrants of the Underdark,2016,2,4,60,14
169426,Roll Player,2016,1,4,90,10
20551,Shogun,2006,3,5,120,12
176494,Isle of Skye: From Chieftain to King,2015,2,5,50,8
421,1830: Railways & Robber Barons,1986,2,7,360,14
199478,Flamme Rouge,2016,2,4,45,8
232832,Century: Golem Edition,2017,2,5,45,8
198994,Hero Realms,2016,2,4,30,12
19857,Glory to Rome,2005,2,5,60,12
140620,Lewis & Clark: The Expedition,2013,1,5,120,14
27708,1960: The Making of the President,2007,2,2,120,12
155873,Power Grid Deluxe: Europe/North America,2014,2,6,120,12
158600,Hanamikoji,2013,2,2,15,10
127060,Bora Bora,2013,2,4,120,12
24181,Imperial,2006,2,6,180,13
97207,Dungeon Petz,2011,2,4,90,13
3,Samurai,1998,2,4,60,10
242302,Space Base,2018,2,5,60,14
108745,Seasons,2012,2,4,60,14
154203,Imperial Settlers,2014,1,4,90,10
228341,Pulsar 2849,2017,2,4,90,14
92828,Dixit: Odyssey,2011,3,12,30,8
283948,Marco Polo II: In the Service of the Khan,2019,2,4,120,12
22545,Age of Empires III: The Age of Discovery,2007,2,5,120,10
204583,Kingdomino,2016,2,4,15,8
222509,Lords of Hellas,2018,1,4,90,14
38453,Space Alert,2008,1,5,30,12
118,Modern Art,1992,3,5,45,10
181279,Fury of Dracula (Third/Fourth Edition),2015,2,5,180,14
265188,Glen More II: Chronicles,2019,2,4,120,12
193037,Dead of Winter: The Long Night,2016,2,5,120,14
760,Battle Line,2000,2,2,30,12
93260,Summoner Wars: Master Set,2011,2,4,60,9
144344,Rococo,2013,2,5,120,12
203420,Exit: The Game - The Abandoned Cabin,2016,1,6,120,12
209418,Dominion (Second Edition),2016,2,4,30,14
66589,Navegador,2010,2,5,90,12
59294,Runewars,2010,2,4,240,14
176734,The Manhattan Project: Energy Empire,2016,1,5,120,13
286096,Tapestry,2019,1,5,120,12
48726,Alien Frontiers,2010,2,4,90,13
19777,Indonesia,2005,2,5,240,14
54138,Imperial 2030,2009,2,6,180,12
268864,Undaunted: Normandy,2019,2,2,60,14
172081,Burgle Bros.,2015,1,4,90,12
234,Hannibal: Rome vs. Carthage,1996,2,2,200,12
256916,Concordia Venus,2018,2,6,120,12
146439,BattleLore (Second Edition),2013,2,2,90,14
224783,Vindication,2018,2,5,150,14
13122,Antiquity,2004,2,4,180,14
312484,Lost Ruins of Arnak,2020,1,4,120,12
232405,Western Legends,2018,2,6,90,14
139976,Cthulhu Wars,2015,2,4,120,14
2655,Hive,2000,2,2,20,9
160477,Onitama,2014,2,2,20,8
206718,Ethnos,2017,2,6,60,14
101721,Mage Wars Arena,2012,2,2,90,13
209685,Century: Spice Road,2017,2,5,45,8
241451,Aeon's End: Legacy,2019,1,4,90,14
172818,Above and Below,2015,2,4,90,13
187617,Nemo's War (Second Edition),2017,1,4,120,13
40692,Small World,2009,2,5,80,8
140934,Arboretum,2015,2,4,30,8
181304,Mysterium,2015,2,7,42,10
45315,Dungeon Lords,2009,2,4,90,12
249259,War Chest,2018,2,4,30,14
269207,The Taverns of Tiefenthal,2019,2,4,60,12
165722,KLASK,2014,2,2,10,8
46213,Telestrations,2009,4,8,30,12
136888,Bruges,2013,2,4,60,10
77130,Sid Meier's Civilization: The Board Game,2010,2,4,240,13
271896,Star Wars: Outer Rim,2019,1,4,180,14
59959,Letters from Whitechapel,2011,2,6,60,14
54,Tikal,1999,2,4,90,10
227789,Heaven & Ale,2017,2,4,90,12
163967,Tiny Epic Galaxies,2015,1,5,45,14
25292,Merchants & Marauders,2010,2,4,180,13
246784,Cryptid,2018,3,5,50,10
41114,The Resistance,2009,5,10,30,13
143693,Glass Road,2013,1,4,80,13
176920,Mission: Red Planet (Second Edition),2015,2,6,90,14
37046,Ghost Stories,2008,1,4,60,12
5,Acquire,1964,2,6,90,12
163745,Star Wars: Armada,2015,2,2,120,14
39856,Dixit,2008,3,6,30,8
296151,Viscounts of the West Kingdom,2020,1,4,90,12
119890,Agricola: All Creatures Big and Small,2012,2,2,30,13
70919,Takenoko,2011,2,4,45,8
17392,Here I Stand,2006,2,6,360,12
21241,Neuroshima Hex! 3.0,2006,1,4,30,13
129622,Love Letter,2012,2,4,20,10
283355,Dune,2019,2,6,120,14
182134,Evolution: Climate,2016,2,6,60,12
2653,Survive: Escape from Atlantis!,1982,2,4,60,8
234487,Altiplano,2017,2,5,120,12
1,Die Macher,1986,3,5,240,14
199042,Harry Potter: Hogwarts Battle,2016,2,4,60,11
219513,Bärenpark,2017,2,4,45,8
25554,Notre Dame,2007,2,5,75,10
8217,San Juan,2004,2,4,60,10
192458,51st State: Master Set,2016,1,4,90,14
39683,At the Gates of Loyang,2009,1,4,120,10
33160,Endeavor,2009,3,5,90,12
31594,In the Year of the Dragon,2007,2,5,100,12
24480,The Pillars of the Earth,2006,2,4,120,12
204305,Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,2016,1,8,120,10
172,For Sale,1997,3,6,30,10
144592,Bruxelles 1893,2013,2,5,125,13
9217,Saint Petersburg,2004,2,4,60,10
36932,Claustrophobia,2009,2,2,45,14
90137,Blood Bowl: Team Manager - The Card Game,2011,2,4,120,14
40765,Clash of Cultures,2012,2,4,240,14
256226,Azul: Stained Glass of Sintra,2018,2,4,45,8
184921,Bunny Kingdom,2017,2,4,60,12
197376,Charterstone,2017,1,6,75,14
21348,Ticket to Ride: Märklin,2006,2,5,60,8
121,Dune,1979,2,6,180,12
70323,King of Tokyo,2011,2,6,30,8
71,Civilization,1980,2,7,360,12
257499,Arkham Horror (Third Edition),2018,1,6,180,14
54625,Space Hulk (Third Edition),2009,2,2,60,12
250458,Gùgōng,2018,1,5,90,12
186751,Mythic Battles: Pantheon,2017,2,4,90,14
154809,Nippon,2015,2,4,120,12
265736,Tiny Towns,2019,1,6,60,14
166669,San Juan (Second Edition),2014,2,4,60,10
246192,Gizmos,2018,2,4,50,14
198773,Codenames: Pictures,2016,2,8,15,10
243,Advanced Squad Leader,1985,2,2,480,14
50,Lost Cities,1999,2,2,30,10
283155,Calico,2020,1,4,45,13
124708,Mice and Mystics,2012,1,4,90,7
170771,Sword & Sorcery,2017,1,5,90,12
235802,Too Many Bones: Undertow,2018,1,2,180,12
314040,Pandemic Legacy: Season 0,2020,2,4,60,14
63628,The Manhattan Project,2012,2,5,120,13
55670,Macao,2009,2,4,100,12
66188,Fresco,2010,2,4,60,10
15985,Blood Bowl: Living Rulebook,2004,2,2,120,12
15987,Arkham Horror,2005,1,8,240,14
63888,Innovation,2010,2,4,60,12
195539,The Godfather: Corleone's Empire,2017,2,5,90,14
194594,Dice Forge,2017,2,4,45,10
40354,Maria,2009,2,3,210,14
236191,London (Second Edition),2017,2,4,90,14
229220,Santa Maria,2017,1,4,90,12
79828,A Few Acres of Snow,2011,2,2,120,14
161614,Stockpile,2015,2,5,45,13
155987,Abyss,2014,2,4,60,14
156546,Monikers,2015,4,16,60,17
138161,Firefly: The Game,2013,1,4,240,13
100901,Flash Point: Fire Rescue,2011,2,6,45,10
215341,Thunderstone Quest,2018,2,4,90,14
96913,Lancaster,2011,2,5,60,10
66362,Glen More,2010,2,5,70,10
244711,Newton,2018,1,4,90,14
176396,Quadropolis,2016,2,4,60,8
105134,Risk Legacy,2011,3,5,60,13
11170,Heroscape Master Set: Rise of the Valkyrie,2004,2,4,90,8
260428,Pandemic: Fall of Rome,2018,1,5,60,8
151347,Millennium Blades,2016,2,5,120,12
27162,Kingsburg,2007,2,5,90,13
111341,The Great Zimbabwe,2012,2,5,150,14
245934,Carpe Diem,2018,2,4,75,10
215311,Downforce,2017,2,6,40,10
230253,Star Realms: Frontiers,2018,1,4,45,12
150658,Pandemic: The Cure,2014,2,5,30,8
25417,BattleLore,2006,2,2,60,10
137408,Amerigo,2013,2,4,90,10
47,Chinatown,1999,3,5,60,12
234277,Nusfjord,2017,1,5,100,12
128671,Spartacus: A Game of Blood and Treachery,2012,3,4,180,17
18833,Lord of the Rings: The Confrontation,2005,2,2,30,14
157969,Sheriff of Nottingham,2014,3,5,60,14
34219,Biblios,2007,2,4,30,10
5404,Amun-Re,2003,3,5,90,12
123123,BattleCON: Devastation of Indines,2013,1,5,45,10
269210,Twice as Clever!,2019,1,4,30,10
188866,Awkward Guests,2016,1,8,75,12
62222,Commands & Colors: Napoleonics,2010,2,2,90,14
192153,Pandemic: Reign of Cthulhu,2016,2,4,40,14
128996,1775: Rebellion,2013,2,4,120,10
92415,Skull,2011,3,6,45,10
17226,Descent: Journeys in the Dark,2005,2,5,240,13
712,Blood Bowl (Third Edition),1994,2,2,180,12
146791,Shadows of Brimstone: City of the Ancients,2014,1,4,120,12
136063,Forbidden Desert,2013,2,5,45,10
177639,Raptor,2015,2,2,30,9
274960,Point Salad,2019,2,6,30,8
